participant_id,gender,genderother,trans,age,handedness,race___0,race___1,race___2,race___3,race___4,race___5,race_other,ethnicity,language,language_other,sexuality,sexuality_other,marital,grade,degree,degree_other,employment,occupation,militaryaffil,income,religion,religion_other,pidsf1,pidsf2,pidsf3,pidsf4,pidsf5,pidsf6,pidsf7,pidsf8,pidsf9,pidsf10,pidsf11,pidsf12,pidsf13,pidsf14,pidsf15,pidsf16,pidsf17,pidsf18,pidsf19,pidsf20,pidsf21,pidsf22,pidsf23,pidsf24,pidsf25,pidsf26,pidsf27,pidsf28,pidsf29,pidsf30,pidsf31,pidsf32,pidsf33,pidsf34,pidsf35,pidsf36,pidsf37,pidsf38,pidsf39,pidsf40,pidsf41,pidsf42,check5,pidsf43,pidsf44,pidsf45,pidsf46,pidsf47,pidsf48,pidsf49,pidsf50,pidsf51,pidsf52,pidsf53,pidsf54,pidsf55,pidsf56,pidsf57,pidsf58,pidsf59,pidsf60,pidsf61,pidsf62,pidsf63,pidsf64,pidsf65,pidsf66,pidsf67,pidsf68,pidsf69,pidsf70,pidsf71,pidsf72,pidsf73,pidsf74,pidsf75,pidsf76,pidsf77,pidsf78,pidsf79,pidsf80,pidsf81,pidsf82,pidsf83,pidsf84,pidsf85,pidsf86,pidsf87,pidsf88,check6,pidsf89,pidsf90,pidsf91,pidsf92,pidsf93,pidsf94,pidsf95,pidsf96,pidsf97,pidsf98,pidsf99,pidsf100,pid5_sf_complete
11,0,,0,28,1,0,0,0,0,0,1,Latina,1,0,,0,,0,7,5,Associates Degree,7,5,4,3,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
12,0,,0,31,1,1,0,0,0,0,0,,0,0,,0,,2,9,3,,0,4,4,5,8,,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,1,1,0,0,0,0,0,1,1,0,2,2,1,0,1,2,0,0,0,2,1,2,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,2
13,0,,0,34,1,1,0,0,0,0,0,,0,0,,0,,0,6,0,,0,0,4,3,8,,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,2,2,0,1,0,1,0,0,0,1,0,3,1,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2
14,1,,0,22,1,1,0,0,0,0,0,,0,0,,0,,4,8,2,,0,4,4,2,6,,1,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,2,1,0,2,2,2,2,1,0,1,1,0,0,0,2,3,1,0,2,2,0,2,2,0,1,1,2,0,1,2,2,1,1,2,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,2,1,2,1,0,0,2,2,1,1,1,0,2,2,0,2,2,0,1,2,1,2,2,0,1,0,0,2,0,1,0,2
15,0,,0,24,1,1,1,0,0,0,0,,1,0,,4,,4,8,2,,0,4,4,2,8,,0,0,2,2,0,2,0,0,0,1,0,2,0,0,0,0,2,1,2,2,1,1,2,2,2,0,0,0,0,0,2,2,1,0,2,2,0,1,2,0,3,0,2,1,2,3,2,0,1,3,0,0,0,1,0,3,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,2,0,0,0,1,0,3,2,1,1,1,0,0,0,1,0,2,2,1,1,1,3,2,0,0,0,0,3,0,1,1,2
16,0,,0,23,0,0,1,0,0,0,0,,0,0,,0,,4,9,3,,0,3,4,4,9,Christian,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
17,0,,0,26,1,1,0,0,0,0,0,,0,0,,0,,4,9,3,,0,4,4,3,6,,0,0,1,1,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,2,0,1,1,0,2,0,2,2,1,2,2,1,2,0,1,0,1,2,1,1,0,2,2,1,2,1,1,0,1,1,2,0,1,0,0,1,1,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,1,0,1,2,0,1,2,1,0,1,0,0,1,2,2,1,1,1,0,0,0,0,0,1,0,2
18,0,,0,22,1,1,0,0,0,0,0,,0,0,,0,,4,8,2,,0,4,4,1,8,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,2
19,1,,0,28,1,0,1,0,0,0,0,,0,0,,0,,4,9,4,,2,4,4,1,8,,0,2,2,0,2,1,0,1,0,2,0,0,0,0,0,2,2,0,0,0,2,2,1,1,0,0,0,0,0,0,0,1,0,0,3,2,0,1,2,0,0,0,2,0,3,3,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3,2
20,1,,0,28,0,1,0,0,0,0,0,,0,2,Dutch,0,,4,9,2,,1,4,4,2,8,,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,2,1,1,1,1,2,1,2,1,1,0,0,2,0,1,1,2,1,1,1,1,1,0,2,2,1,0,2,1,1,0,1,0,0,2,1,2,0,0,1,2,0,0,1,1,0,1,1,1,0,0,2,1,1,1,0,1,1,0,0,1,1,2,1,1,1,0,0,1,0,1,0,1,0,1,2,2,1,1,0,1,0,2,2,1,1,1,2
21,0,,0,28,1,1,0,0,0,0,0,,0,0,,0,,0,9,3,,0,3,4,6,6,,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,1,0,2
22,0,,0,22,1,1,0,0,0,0,0,,0,0,,0,,4,8,2,,5,5,4,5,8,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
23,0,,0,31,1,1,0,0,0,0,0,,0,0,,3,,0,8,2,,6,6,4,4,8,,1,1,1,1,1,1,1,1,2,1,2,2,0,0,1,1,2,1,2,1,1,2,1,2,2,2,2,1,1,1,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,1,2,2,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,2
24,1,,0,30,1,1,0,0,0,0,0,,0,0,,1,,0,9,4,,0,4,4,5,8,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2
25,0,,0,24,1,1,0,0,1,0,0,,0,0,,0,,4,7,1,,1,4,4,2,9,Mother Earth,2,2,3,3,2,2,0,1,1,2,2,2,0,0,1,0,3,1,2,2,1,3,2,3,3,1,3,0,0,0,2,3,1,0,0,3,0,2,3,0,3,1,2,2,1,3,3,2,3,3,1,0,2,3,0,2,0,1,1,0,1,2,0,2,1,1,3,0,0,0,2,3,0,0,2,2,0,2,3,3,1,3,0,3,3,0,2,2,2,1,0,0,2,2,0,1,0,2,1,0,1,0,2
26,0,,0,27,1,1,0,0,0,0,0,,0,0,,0,,4,8,2,,5,5,4,3,8,,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,2,1,2,1,1,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2
27,0,,0,23,1,1,0,0,0,0,0,,0,0,,0,,4,9,3,,2,5,4,0,6,,0,1,3,2,1,0,0,1,0,0,0,0,0,0,0,0,3,2,1,2,1,2,2,2,1,0,0,0,0,0,0,3,0,2,2,2,0,0,1,0,2,0,2,0,1,1,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,2,1,0,0,0,2,2,2
28,1,,0,25,1,0,0,1,0,0,0,,0,0,,3,,4,9,3,,0,4,4,7,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
29,0,,0,26,0,1,0,0,0,0,0,,0,2,Dutch,0,,4,9,3,,0,4,4,2,8,,0,1,2,1,0,1,0,1,0,0,0,0,2,0,0,2,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,2
30,0,,0,28,1,1,0,0,0,0,0,,0,0,,0,,0,8,2,,0,4,4,3,9,Christian,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,1,2,2,1,0,0,0,0,0,0,2,0,0,0,2,0,1,2,0,2,0,1,0,0,2,1,1,2,2,1,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,2,0,1,2,0,2,2,0,1,0,0,1,0,0,0,2
31,0,,0,24,1,1,0,0,0,0,0,,0,0,,0,,4,8,2,,5,5,4,1,8,,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,3,2,0,1,1,0,1,3,0,2,0,0,0,0,2,1,3,0,1,3,0,0,2,2,3,3,2,2,0,3,0,0,3,3,0,0,0,2,0,2,0,0,3,0,2,0,0,0,1,2,2,0,1,0,1,3,0,0,2,0,0,1,2,3,3,2,0,0,3,0,0,1,0,1,2,0,2,1,0,0,0,0,1,0,2,0,2
32,0,,0,24,1,1,0,0,0,0,0,,0,0,,0,,4,8,2,,0,4,4,3,6,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
33,0,,0,24,0,0,1,0,0,0,0,,0,0,,0,,4,8,2,,5,5,4,0,9,Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
34,0,,0,23,0,1,0,0,0,0,0,,0,0,,0,,4,9,3,,1,4,4,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
35,0,,0,20,1,1,0,0,0,0,0,,0,0,,0,,4,8,2,,0,4,4,7,8,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
36,1,,0,33,1,1,0,0,0,0,0,,1,0,,0,,0,9,4,,0,4,4,9,8,,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,1,0,0,0,1,2,0,0,3,1,0,3,0,0,1,2,1,0,0,1,0,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2
37,0,,0,22,1,1,0,0,0,0,0,,0,0,,0,,4,8,2,,0,1,4,0,7,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,2,2,0,0,0,0,0,0,2,3,0,0,3,0,0,0,0,2,3,2,0,1,3,2,0,3,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,3,3,2,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,0,2,0,1,0,2
38,0,,0,24,0,1,1,0,0,0,0,,0,0,,0,,0,8,2,,0,1,4,6,8,,0,0,2,1,0,0,0,0,3,3,1,2,0,0,0,0,3,2,0,1,0,2,1,3,0,0,0,1,0,0,2,0,0,0,2,2,0,1,0,0,3,0,2,2,3,3,0,0,3,2,1,0,0,2,0,2,0,0,1,0,1,3,0,0,0,2,2,0,0,2,1,2,0,2,0,0,0,1,3,2,1,2,2,2,0,0,2,0,0,1,0,0,0,2,0,2,2,2,1,0,3,1,2
39,1,,0,39,1,1,0,0,0,0,0,,0,0,,0,,2,9,3,,0,4,4,3,8,,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
40,0,,0,27,1,1,0,0,0,0,0,,0,0,,2,,4,8,2,,0,1,4,3,6,,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,1,1,1,1,2,1,0,0,1,1,1,2,1,1,0,2,0,0,0,0,0,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,2,1,0,1,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,2
41,0,,0,29,1,1,0,0,0,0,0,,0,0,,0,,4,8,2,,0,4,4,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
42,0,,0,29,1,1,0,0,0,0,0,,0,0,,3,,0,9,4,,0,4,4,9,8,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
43,0,,0,24,1,1,0,0,0,0,0,,0,0,,0,,4,8,2,,0,1,4,8,6,,1,1,2,1,0,1,0,1,0,0,3,0,0,1,0,1,1,1,0,2,1,2,2,2,0,0,0,1,0,1,0,0,0,1,1,2,0,2,1,0,1,0,1,0,2,0,0,0,2,2,0,1,0,2,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,1,2,1,1,0,0,0,1,0,1,0,0,1,2,0,1,1,0,1,0,1,0,2
44,0,,0,22,1,1,0,0,0,0,0,,0,0,,0,,4,8,2,,5,5,4,0,6,,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,1,1,1,2,1,0,1,1,1,2,1,2,2,0,0,3,0,2,2,1,1,2,2,1,1,2,1,0,3,2,1,0,1,1,0,1,1,1,1,1,1,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,2,2,2,1,0,0,1,0,1,0,0,1,2,0,1,0,1,2,0,0,0,0,1,0,2
45,0,,0,23,1,1,0,0,0,0,0,,0,0,,0,,4,8,2,,0,4,4,4,8,,0,0,2,1,0,0,1,0,2,1,2,1,0,0,0,0,1,0,1,2,1,1,1,1,2,0,2,3,1,2,0,2,1,0,1,2,1,0,1,2,0,1,2,2,0,1,1,0,2,1,1,0,1,0,0,1,1,0,0,0,2,0,0,0,0,2,2,0,0,0,2,0,0,3,0,1,0,2,2,1,1,0,1,2,1,0,0,1,0,1,2,0,1,1,1,0,0,0,1,0,1,1,2
46,0,,0,24,1,0,0,1,0,0,0,,0,0,,0,,4,7,6,,5,5,4,5,8,,0,1,2,2,2,1,0,1,1,0,1,0,0,0,0,0,2,1,0,2,0,0,0,2,2,0,3,1,3,1,0,1,0,0,0,2,0,0,2,3,2,0,2,1,0,0,1,0,2,2,0,0,3,0,0,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,2,3,0,0,0,0,0,0,0,2
47,0,,0,26,1,1,0,0,0,0,0,,0,0,,0,,4,9,3,,0,4,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
48,0,,0,26,1,0,1,0,0,0,0,,1,0,,0,,0,9,3,,5,4,4,2,9,Christian,0,2,2,2,0,1,0,2,0,0,0,1,0,0,0,1,1,0,0,1,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,2,0,1,2,0,0,2,0,0,0,0,2,0,1,0,2
49,0,,0,27,1,1,0,0,0,0,0,,0,0,,3,,4,8,2,,0,4,4,1,8,,1,1,1,1,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,2,1,2,0,0,0,1,0,1,0,2,2,0,0,2,0,0,0,1,2,2,2,1,0,0,0,0,2,2,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,1,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,0,0,0,0,2
50,1,,0,38,1,1,0,0,0,0,0,,0,0,,0,,0,7,1,,0,3,4,5,9,Jehovah's Witness,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,2,0,0,0,1,0,1,0,2,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
