"";"participant";"country";"gender";"age";"political_attitude";"social_status";"bfi2_E_t1";"bfi2_A_t1";"bfi2_C_t1";"bfi2_N_t1";"bfi2_O_t1";"ukraine_behavior_1_t1";"ukraine_behavior_2_t1";"ukraine_behavior_3_t1";"ukraine_behavior_4_t1";"ukraine_emo_1_t1";"ukraine_emo_2_t1";"ukraine_emo_3_t1";"ukraine_emo_4_t1";"ukraine_emo_5_t1";"ukraine_emo_6_t1";"ukraine_emo_7_t1";"ukraine_eval_1_t1";"ukraine_eval_2_t1";"ukraine_eval_3_t1";"ukraine_eval_4_t1";"ukraine_cope_1_t1";"ukraine_cope_2_t1";"ukraine_cope_3_t1";"ukraine_cope_4_t1";"ukraine_cope_5_t1";"ukraine_cope_6_t1";"ukraine_cope_7_t1";"ukraine_cope_8_t1";"ukraine_cope_9_t1";"ukraine_cope_10_t1";"ukraine_cope_11_t1";"ukraine_cope_12_t1";"ukraine_cope_13_t1";"ukraine_cope_14_t1";"ukraine_cope_15_t1";"ukraine_cope_16_t1";"ukraine_cope_17_t1";"ukraine_cope_18_t1";"ukraine_cope_19_t1";"ukraine_cope_20_t1";"ukraine_cope_21_t1";"ukraine_cope_22_t1";"ukraine_cope_23_t1";"ukraine_cope_24_t1";"ukraine_cope_25_t1";"ukraine_cope_26_t1";"ukraine_cope_27_t1";"ukraine_cope_28_t1"
"35";35;"germany";1;19;3;7;4,25;3,75;4,5;2,66666666666667;4,16666666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"36";36;"germany";1;22;4;4;4,25;4,33333333333333;3,66666666666667;3,16666666666667;4,16666666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"37";37;"germany";1;20;5;6;3,91666666666667;4,16666666666667;3,33333333333333;2,83333333333333;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"38";38;"germany";1;19;5;7;3,33333333333333;4,08333333333333;4,16666666666667;3,33333333333333;3,16666666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"39";39;"germany";1;20;4;4;2;3,25;3,5;3;3,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"40";40;"germany";1;21;4;6;3,58333333333333;4,41666666666667;4,33333333333333;2,08333333333333;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"41";41;"bulgaria";1;20;8;7;2,25;2,91666666666667;3;4,25;3,33333333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"42";42;"germany";1;19;3;7;3,41666666666667;4,33333333333333;4,08333333333333;3,66666666666667;4,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"43";43;"germany";1;20;3;8;3,41666666666667;4,16666666666667;4,16666666666667;2,41666666666667;4,16666666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"44";44;"germany";2;20;3;6;3,41666666666667;3,75;3;3,41666666666667;3,75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"45";45;"germany";1;18;5;7;3,33333333333333;3,66666666666667;4,91666666666667;2,5;2,83333333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"46";46;"germany";2;48;8;7;2,83333333333333;4,08333333333333;3;2,5;4,33333333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"47";47;"germany";1;20;3;8;3,33333333333333;3,75;4,41666666666667;2,16666666666667;4,75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"48";48;"germany";2;23;5;7;3,91666666666667;4;3,66666666666667;2,08333333333333;3,66666666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"49";49;"germany";1;22;1;6;2,66666666666667;3;2,25;4,58333333333333;3,66666666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"50";50;"germany";1;18;4;7;3,08333333333333;4,08333333333333;4,08333333333333;3,75;3,75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"51";51;"germany";1;25;4;6;4,08333333333333;4,08333333333333;3,83333333333333;2,41666666666667;3,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"52";52;"germany";1;21;5;7;3,66666666666667;3,33333333333333;4,25;2,83333333333333;3,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"53";53;"germany";1;25;5;7;4,16666666666667;4,33333333333333;3,91666666666667;2,08333333333333;3,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"54";54;"germany";1;21;5;7;3,08333333333333;3,83333333333333;4,08333333333333;3,75;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"55";55;"germany";1;38;5;5;3,25;3,75;2,91666666666667;4,16666666666667;4,08333333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"56";56;"germany";1;19;5;7;2,75;3,91666666666667;3,83333333333333;2,75;4,16666666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"57";57;"germany";1;20;4;7;2,16666666666667;4,25;3,91666666666667;2,33333333333333;3,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"58";58;"germany";1;20;4;7;3,08333333333333;4,75;4,16666666666667;2,16666666666667;3,91666666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"59";59;"germany";1;23;4;7;4,25;4,08333333333333;3,08333333333333;2,58333333333333;4,41666666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"60";60;"germany";1;23;3;NA;3,91666666666667;4,5;3,33333333333333;2,33333333333333;4,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"61";61;"germany";1;18;5;8;3,25;3,33333333333333;2,66666666666667;3,25;4,08333333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"62";62;"germany";1;20;NA;NA;4,58333333333333;3,91666666666667;3,66666666666667;2,5;2,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"63";63;"germany";1;22;1;6;4,33333333333333;4,41666666666667;4,91666666666667;3;4,58333333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"64";64;"germany";1;20;NA;NA;3,41666666666667;4,41666666666667;4,16666666666667;2,16666666666667;4,83333333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"65";65;"germany";1;20;6;5;3,33333333333333;4,33333333333333;3,83333333333333;2,08333333333333;4,91666666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"66";66;"germany";1;19;3;7;2,5;4;3,75;3,58333333333333;3,58333333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"67";67;"germany";1;21;3;2;4,83333333333333;3,41666666666667;2,83333333333333;2,33333333333333;3,83333333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"68";68;"germany";1;22;1;9;3,58333333333333;4,25;4,58333333333333;1,91666666666667;4,33333333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"69";69;"germany";2;21;NA;NA;4,08333333333333;4,08333333333333;3,25;2,66666666666667;3,91666666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"70";70;"germany";2;21;2;6;4,08333333333333;4,41666666666667;3,25;2,33333333333333;4,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
